Key,Value
InGame.ConnectionError.DisconnectIdle,"Deine Verbindung wurde getrennt, da du {RBX_NUM} Minuten lang untätig warst"
InGame.ConnectionError.UnknownError,Unbekannter Fehler.
InGame.ConnectionError.ReconnectFailed,Wiederverbindung war nicht erfolgreich. Bitte versuche es erneut.
InGame.EmotesMenu.SelectAnEmote,Emote auswählen
InGame.EmotesMenu.NoEmotesEquipped,Keine Emotes ausgerüstet
InGame.EmotesMenu.ErrorMessageNotSupported,Du kannst hier keine Emotes verwenden.
InGame.EmotesMenu.ErrorMessageR15Only,Nur R15 Avatars können Emotes verwenden.
InGame.EmotesMenu.ErrorMessageNoMatchingEmote,Du kannst dieses Emote nicht benutzen.
InGame.EmotesMenu.ErrorMessageTemporarilyUnavailable,Du kannst Emotes derzeit nicht verwenden.
InGame.EmotesMenu.VisitShopToGetEmotes,"Du hast keine Emotes. Besuche den Shop, um Emotes zu besorgen."
InGame.EmotesMenu.ErrorMessageSwitchToR15,"Wechsle zu deinem R15-Avatar, um das Emote zu spielen."
InGame.EmotesMenu.ErrorMessageAnimationPlaying,Du kannst das Emote während dieser Aktion nicht spielen.
FriendPlayerPrompt.promptCompletedCallback.UnknownError,Beim Senden der Connection-Anfrage an {RBX_NAME} ist ein Fehler aufgetreten. Bitte versuche es später erneut.
FriendPlayerPrompt.DoPromptUnfriendPlayer,Möchtest du {RBX_NAME} aus deiner Connections-Liste entfernen?
FriendPlayerPrompt.DoPromptRequestFriendPlayer,Möchtest du {RBX_NAME} eine Connection-Anfrage senden?
FriendPlayerPrompt.promptCompletedCallback.AtFriendLimit,"Du kannst keine Connection-Anfrage an {RBX_NAME} senden, da dieser Spieler die maximale Anzahl an Connections erreicht hat."
FriendPlayerPrompt.Title.SendFriendRequest,Freundesanfrage senden?
FriendPlayerPrompt.Label.Unfriend,Connection entfernen
InGame.GameplayPaused.Title,Spiel pausiert
InGame.GameplayPaused.Body,"Spiel pausiert: Bitte warte, solange der Spieleinhalt lädt."
InGame.HelpMenu.UpArrow,Aufwärtspfeil
InGame.HelpMenu.DownArrow,Abwärtspfeil
InGame.HelpMenu.LeftArrow,Linkspfeil
InGame.HelpMenu.RightArrow,Rechtspfeil
InGame.HelpMenu.Label.ServerVersion,Serverversion:
InGame.HelpMenu.Label.ClientVersion,Client-Version:
InGame.HelpMenu.Label.PlayerScripts,SpielerScripts:
InGame.HelpMenu.Label.PlaceVersion,Orts-Version:
InGame.HelpMenu.Leave,Verlassen
InGame.HelpMenu.Resume,Fortsetzen
InGame.HelpMenu.Label.ClientCoreScriptVersion,Client-CoreScript-Version:
InGame.InspectMenu.Description.NoInventoryNotice,"Dieser Benutzer trägt keine Artikel, die du anschauen kannst."
InGame.InspectMenu.Description.MultipleBundlesNotice,Dieser Artikel ist Teil mehrerer Bündel.
InGame.InspectMenu.Description.SingleBundleNotice,Dieser Artikel ist Teil eines Bündels.
InGame.InspectMenu.Action.TakeOff,Ablegen
InGame.InspectMenu.Action.TryOn,Anprobieren
InGame.InspectMenu.Action.Buy,Kaufen
InGame.InspectMenu.Action.Inspect,Anschauen
InGame.InspectMenu.Action.View,Ansehen
InGame.InspectMenu.Label.Owned,Im Besitz
InGame.InspectMenu.Label.Offsale,Nicht zum Verkauf
InGame.InspectMenu.Label.Limited,In limitierter Auflage
InGame.InspectMenu.Label.CurrentlyWearing,Aktuelles Outfit
InGame.InspectMenu.Label.By,Von {CREATOR}
InGame.InspectMenu.Description.LimitedNotice,Dieser Artikel kann nur von Wiederverkäufer im Katalog gekauft werden.
InGame.InspectMenu.Label.Avatar,{PLAYER_NAME}s Avatar
InGame.InspectMenu.Label.NoResellers,Keine Wiederverkäufer
InGame.InspectMenu.Label.PremiumOnly,Nur Premium
NotificationScrip2.onCurrentGraphicsQualityLevelChanged.Decreased,Verringert auf {RBX_NUMBER}
NotificationScrip2.onCurrentGraphicsQualityLevelChanged.Increased,Erhöht auf {RBX_NUMBER}
NotificationScript2.NewFollower,Neuer Follower {RBX_NAME} folgt dir jetzt!
NotificationScript2.FriendRequestEvent.Accept,Du bist jetzt mit {RBX_NAME} befreundet!
NotificationScript2.onPointsRewarded.negative,Du hast {RBX_NUMBER} Punkte verloren!
NotificationScript2.onPointsAwarded.single,Du hast {RBX_NUMBER} Punkt erhalten!
NotificationScript2.onPointsAwarded.multiple,Du hast {RBX_NUMBER} Punkte erhalten!
NotificationScript2.onBadgeAwardedTitle,Abzeichen verliehen
NotificationScript2.onBadgeAwardedDetail,{RBX_NAME} hat das „{BADGE_NAME}“ von {CREATOR_NAME} gewonnen!
NotificationScript2.Screenshot.Title,Screenshot erstellt
NotificationScript2.Screenshot.Description,"Schau dir deinen Screenshots-Ordner an, um ihn zu sehen."
NotificationScript2.Screenshot.ButtonText,Ordner öffnen
NotificationScript2.Video.Title,Video aufgenommen
NotificationScript2.Video.Description,"Schau dir deinen Video-Ordner an, um es zu sehen."
NotificationScript2.Video.ButtonText,Ordner öffnen
NotificationScript2.Capture.Permission.AlertTitle,Speicherberechtigungen aktivieren
NotificationScript2.Capture.Permission.AlertText,"Du musst Zugriff auf deine Fotos erlauben, um diese Funktion benutzen zu können. Dies ist in den Einstellungen deines Geräts möglich."
NotificationScript2.Capture.Permission.AlertTextIOS,Gehe zu Einstellungen > Datenschutz > Fotos und aktiviere Roblox für das Speichern von Aufnahmen in deine Fotogalerie.
NotificationScript2.Capture.Permission.AlertTextAndroid,Gehe zu Einstellungen > Roblox > Berechtigungen und aktiviere Speicher zum Speichern von Aufnahmen in deine Fotogalerie.
NotificationScript2.Capture.Permission.AlertButtonText,Okay
NotificationScript2.Capture.Success.ToastText,Aufnahme gespeichert
NotificationScript2.Capture.Fail.ToastText,Aufnahme fehlgeschlagen
NotificationScript2.UINavigation.Title,UI-Navigation aktiviert
NotificationScript2.UINavigation.Text,Backslash zum Umschalten
NotificationScript2.CameraToggle.Title,Kamerasteuerung aktiviert
NotificationScript2.CameraToggle.Text,Rechte Maustaste zum Umschalten
NotificationScript2.GraphicsQuality.Title,Grafikqualität
PlayerDropDown.onUnfollowButtonPress.success,Folgst nicht mehr {RBX_NAME}
PlayerDropDown.onFollowButtonPress.success,folgst jetzt {RBX_NAME}
PlayerDropDown.CannotSendFriendRequest,Freundschaftsanfrage konnte nicht gesendet werden
PlayerDropDown.FriendLimit,Du hast die max. Anzahl an Freunden erreicht.
PlayerDropDown.OtherPlayerFriendLimit,{RBX_NAME} hat die max. Anzahl an Freunden erreicht.
PlayerDropDown.UnFollow,Nicht mehr folgen
PlayerDropDown.Follow,Folgen
PlayerDropDown.Report,Verstoß melden
PlayerDropDown.Examine,Avatar inspizieren
PlayerDropDown.Unfriend,Von der Freundschaftsliste entfernen
PlayerDropDown.FriendRequest,Anfrage senden
PlayerDropDown.CancelRequest,Anfrage abbrechen
PlayerDropDown.Accept,Annehmen
InGame.PlayerList.Leaderboard,Bestenliste
InGame.Presence.Label.InStudio,In Studio
InGame.Presence.Label.Offline,Offline
InGame.Presence.Label.Online,Online
