Key,Value
PurchasePromptScript.PURCHASE_MSG.BALANCE_NOW,Ora i tuoi fondi sono {RBX_NUMBER}.
PurchasePromptScript.ERROR_MSG.FAILED_NO_ITEM_NAME,L'acquisto non è andato a buon fine a causa del seguente errore: {ERROR_REASON}. Il tuo account non ha subito addebiti. Riprova più tardi.
PurchasePromptScript.PURCHASE_MSG.FAILED,Il tuo acquisto di {RBX_NAME1} non è riuscito perché: {RBX_NAME2}. Il tuo account non ha subito addebiti. Riprova più tardi.
PurchasePromptScript.PURCHASE_MSG.SUCCEEDED,Il tuo acquisto di {RBX_NAME1} è andato a buon fine!
PurchasePromptScript.ERROR_MSG.UNKNOWN,qualcosa è andato storto
PurchasePromptScript.ERROR_MSG.INVALID_FUNDS,il tuo account non ha abbastanza ROBUX
StatsUtil.KBps,{RBX_NUMBER} KB/s
StatsUtil.MB,{RBX_NUMBER} MB
StatsUtil.ms,{RBX_NUMBER} ms
Network,(Rete)
GameChat_ChatCommandsTeller_SwitchChannelCommand,/c <canale>: cambia scheda nel menu dei canali.
GameChat_ChatCommandsTeller_MeCommand,/me <testo>: comando per descrivere azioni e giocare di ruolo.
GameChat_ChatCommandsTeller_MuteCommand,/mute <giocatore>: togli la parola a un giocatore.
GameChat_ChatCommandsTeller_UnMuteCommand,/unmute <giocatore>: restituisci la parola a un giocatore.
GameChat_ChatCommandsTeller_WhisperCommand,/whisper <giocatore> o /w <giocatore>: apri un canale privato con un giocatore.
Average,Media
GameChat_ChatServiceRunner_ChannelDoesNotExist,Il canale {RBX_NAME} non esiste.
GameChat_ChatCommandsTeller_AllChannelWelcomeMessage,"Scrivi ""/?"" o ""/help"" per avere l'elenco dei comandi della chat."
GameChat_SwallowGuestChat_Message,Crea un account gratuito per avere accesso ai permessi della chat!
Current,Attuale
DisableVoiceKey,Disattiva chat vocale
EnableVoiceKey,Attiva chat vocale
key_142,Nuovo amico {RBX_NAME}
KEY_DESCRIPTION_OPTIONAL,Opzionale
key_145,Punti attribuiti Hai ricevuto {RBX_NUMBER} punti!
Received,Ricevuti
BACKPACK_SEARCH,Cerca
KEY_DESCRIPTION_SHORT_DECRIPTION_OPTIONAL,Descrizione breve (opzionale)
GameChat_MuteSpeaker_SpeakerDoesNotExist,"Il giocatore ""{RBX_NAME}"" non esiste."
GameChat_ChatMain_SpeakerHasBeenBlocked,"Hai bloccato il giocatore ""{RBX_NAME}""."
GameChat_ChatMain_SpeakerHasBeenMuted,"Hai tolto la parola al giocatore ""{RBX_NAME}""."
GameChat_ChatMain_SpeakerHasBeenUnBlocked,"Hai sbloccato il giocatore ""{RBX_NAME}""."
GameChat_ChatMain_SpeakerHasBeenUnMuted,"Hai restituito la parola al giocatore ""{RBX_NAME}""."
GameChat_ChatMain_ChatBarTextTouch,Tocca qui per chattare
Target,Scopo
GameChat_ChatService_ChatFilterIssues,Il filtro della chat sta riscontrando dei problemi e i messaggi potrebbero apparire in ritardo.
GameChat_ChatCommandsTeller_Desc,Questi sono i comandi base della chat.
GameChat_TeamChat_WelcomeMessage,Questo è un canale privato tra te e i membri della tua squadra.
GameChat_ChatMain_ChatBarText,"Per chattare, clicca qui o premi il tasto ""/"""
GameChat_ChatChannel_MutedInChannel,Non hai più la parola e non puoi chattare in questo canale
GameChat_ChatServiceRunner_YouAreNotInChannel,Non ti trovi nel canale {RBX_NAME}
GameChat_SwitchChannel_NotInChannel,"Non ti trovi nel canale: ""{RBX_NAME}"""
GameChat_TeamChat_NowInTeam,"Ora sei nella squadra ""{RBX_NAME}""."
GameChat_PrivateMessaging_NowChattingWith,Ora stai chattando in privato con {RBX_NAME}
GameChat_ChatServiceRunner_YouCannotJoinChannel,Non puoi accedere al canale {RBX_NAME}
GameChat_ChatServiceRunner_YouCannotLeaveChannel,Non puoi lasciare il canale {RBX_NAME}
GameChat_ChatService_CannotLeaveChannel,Non puoi lasciare questo canale.
GameChat_DoMuteCommand_CannotMuteSelf,Non puoi togliere la parola a te stesso.
GameChat_TeamChat_CannotTeamChatIfNotInTeam,Non puoi chattare con la squadra se non sei in una squadra!
GameChat_PrivateMessaging_CannotWhisperToSelf,Non puoi aprire un canale privato con te stesso.
GameChat_ChatService_YouHaveLeftChannel,"Hai lasciato il canale ""{RBX_NAME}"""
GameChat_ChatFloodDetector_Message,Devi aspettare prima di inviare un altro messaggio!
GameChat_ChatFloodDetector_MessageDisplaySeconds,Devi aspettare {RBX_NUMBER} secondi prima di inviare un altro messaggio!
KEY_PLAYER_IDLE_DISCONNECT,Sei stato disconnesso perché inattivo per {RBX_NUMBER} minuti
GameChat_ChatMessageValidator_SettingsError,Non puoi inviare messaggi per le impostazioni della tua chat.
GameChat_ChatMessageValidator_WhitespaceError,Il tuo messaggio contiene spazi vuoti non consentiti.
GameChat_ChatMessageValidator_MaxLengthError,Il tuo messaggio supera la lunghezza massima consentita.
GameChat_SwitchChannel_NowInChannel,"Ora stai parlando nel canale: ""{RBX_NAME}"""
Sent,Inviati
Corescripts.AvatarContextMenu.PlayerBlocked,Persona bloccata
CoreScripts.AvatarEditorPrompts.GameNamePlaceHolder,Nome dell'esperienza sconosciuto
CoreScripts.TopBar.GameNamePlaceHolder,Esperienza
Feature.SettingsHub.Label.LeaveGame,Sei sicuro di voler lasciare l'esperienza?
Feature.SettingsHub.Label.GameInviteError,Impossibile inviare l'invito all'esperienza. Per favore riprova più tardi.
Feature.SettingsHub.Label.ModeratedInviteError,L'invito all'esperienza è stato moderato e non inviato.
Feature.SettingsHub.Action.InviteFriendsToPlay,Invita amici
Feature.SettingsHub.Label.CaptureDescription,Cattura le tue esperienze di gioco. Le foto scattate vengono salvate sul tuo dispositivo.
Feature.SettingsHub.Label.CaptureDescription1,Cattura le tue esperienze.
