Key,Value
Common.UGCValidation.ErrorLabel.AssetSchemaWrongRootName,"Das hochgeladene Objekt sollte den Namen {ExpectedClass} haben, hat aber stattdessen den Namen {RootClass}."
Common.UGCValidation.ErrorLabel.ContentNotEditable,{InstanceFullName}.{FieldName} enthält noch nicht gespeicherte bearbeitbare Inhalte. Speichere sie vor der Veröffentlichung als Objekt und versuche es erneut.
Common.UGCValidation.ErrorLabel.CurveAnim_BodyPartHasPosition,"Das Körperteil ""{bodyPartName}"" in CurveAnimation hat eine Positionsspur (Übersetzung). Körperteile in Animationen dürfen nur rotiert werden. Positionspuren sind nicht erlaubt. Bitte entferne die Positionsspur von diesem Körperteil."
Common.UGCValidation.ErrorLabel.CurveAnim_BodyPartTranslationExceedsThreshold,"Der Körperteil ""{bodyPartName}"" in CurveAnimation bewegt sich um {distance} Noppen von seiner Startposition. Die maximal zulässige Verschiebung beträgt {maxDistance} Noppen. Bitte reduziere die Positionsbewegung des Körperteils."
Common.UGCValidation.ErrorLabel.CurveAnim_BodyPartWithBoneHasPosition,"CurveAnimation enthält HRD/DRD-Knochen und das Körperteil ""{bodyPartName}"" hat eine Positionsspur (Übersetzung). Wenn in der Animation Knochen vorhanden sind, dürfen keine Körperteile verschoben werden, um eine Trennung der Verbindungen zu verhindern. Bitte entferne alle Positionsspuren von Körperteilen."
Common.UGCValidation.ErrorLabel.CurveAnim_BonePositionNotAllowed,Der Knochen {boneName} in CurveAnimation hat eine Positionsspur (Übersetzung). HRD/DRD-Knochen dürfen nur gedreht werden. Positionsspuren verursachen eine Trennung der Verbindung und sind nicht erlaubt. Bitte entferne die Positionsanimation von diesem Knochen.
Common.UGCValidation.ErrorLabel.CurveAnim_BoneTranslationExceedsThreshold,"Der Knochen ""{boneName}"" in CurveAnimation bewegt sich um {distance} Noppen von seiner Startposition. Die maximal zulässige Verschiebung beträgt {maxDistance} Noppen. Bitte reduziere die Positionsbewegung des Knochens."
Common.UGCValidation.ErrorLabel.CurveAnim_BonesNotAllowed,"CurveAnimation enthält HRD/DRD-Knochenordner, die noch nicht unterstützt werden. Bitte entferne vor dem Hochladen alle Knochenunterordner."
Common.UGCValidation.ErrorLabel.CurveAnim_BoundsExceeded,Körperteile in einer CurveAnimation dürfen nicht tiefer als {minHeight} Noppen oder mehr als {maxDistance} Noppen vom HumanoidRootPart entfernt sein. Bitte korrigiere die Animation.
Common.UGCValidation.ErrorLabel.CurveAnim_ChildrenOnMarkerOrRig,Die untergeordneten Elemente MarkerCurves und AnimationRigData von CurveAnimation dürfen keine untergeordneten Elemente haben
Common.UGCValidation.ErrorLabel.CurveAnim_ContainsScripts,"Die CurveAnimation-Hierarchie enthält Scripts, LocalScripts oder ModuleScripts. Bitte entferne sie."
Common.UGCValidation.ErrorLabel.CurveAnim_FetchFailed,Die CurveAnimation-Daten konnten nicht geladen werden. Möglicherweise ist das Animationsobjekt ungültig oder nicht zugänglich.
