Key,Value
Common.UGCValidation.ErrorLabel.AQSFail_MeshIslandML,يحتوي الجسد لديك على مكونات صغيرة منفصلة من أصل mesh (جزر من أصل mesh). يُرجى إزالة الهندسة العائمة والتأكد من توصيل جميع أجزاء أصل mesh بشكل صحيح.
Common.UGCValidation.ErrorLabel.AQSFail_TooManyDisconnectedComponents,جودة الأصل: يحتوي الجزء {partName} على {num_disconnected_components} من المكونات غير المتصلة، وهو ما يتجاوز الحد الأقصى البالغ {max_disconnected_components}.
Common.UGCValidation.ErrorLabel.AQSInputDataError,لا يمكن حساب درجة الجودة بشكل صحيح لأن بيانات الإدخال غير صحيحة أو غير كاملة. يُرجى التحقق من النموذج الخاص بك أو الإبلاغ عن الأخطاء
Common.UGCValidation.ErrorLabel.AQSInternalError,لا يمكن إنشاء النتيجة بسبب خطأ في جودة الأصل. يُرجى التحقق من صحة بيانات الإدخال والمحاولة مرة أخرى، أو الإبلاغ عن الأخطاء.
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistance,تحذير بشأن جودة الأصل: تبلغ درجة مسافة القفص عن أصل Mesh ما مقداره {score}. يبلغ الحد الأقصى للمسافة بين القفص الخارجي وأصل Mesh ما مقداره {max_distance}، وتقع نسبة {negative_sdf_percent}% من رؤوس القفص الخارجي داخل أصل Mesh للعرض.
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistanceAvatar,تحذير بشأن جودة الأصل: تبلغ درجة مسافة قفص الجسد ما مقداره {score}. يبلغ الحد الأقصى للمسافة بين قفص الجسد وأصل Mesh ما مقداره {max_distance}، وتقع نسبة {negative_sdf_percent}% من رؤوس قفص الجسد داخل أصل Mesh للجسد.
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistanceHead,تحذير بشأن جودة الأصل: تبلغ درجة مسافة قفص الرأس ما مقداره {score}. يبلغ الحد الأقصى للمسافة بين قفص الرأس وأصل Mesh ما مقداره {max_distance}، وتقع نسبة {negative_sdf_percent}% من رؤوس قفص الرأس داخل أصل Mesh للرأس.
Common.UGCValidation.ErrorLabel.AQSWarn_CageRelevancy,تحذير بشأن جودة الأصل: تبلغ درجة ملاءمة القفص ما مقداره {score}. نسبة {irrelevant_percent}% من رؤوس القفص الخارجي المعدلة لا تغطي الإكسسوار.
Common.UGCValidation.ErrorLabel.AQSWarn_CageUV,تحذير بشأن جودة الأصل: تبلغ درجة إحداثيات UV ما مقداره {score} للقفص {cage_name}. عدد إحداثيات UV غير الصحيحة: {incorrect_uv_count}.
Common.UGCValidation.ErrorLabel.AQSWarn_DegenTriangles,جودة الأصل: يحتوي الجزء {partName} على نسبة {degenerate_triangle_percent}% من المثلثات الملتوية (النتيجة: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_DynamicHead,تحذير بشأن جودة الأصل: تبلغ درجة تعبير الرأس الديناميكي ما مقداره {score}.
Common.UGCValidation.ErrorLabel.AQSWarn_JointNumber,جودة الأصل: حصلت تهيئة المفاصل على النتيجة {score} (المفاصل: {joint_number}، اليد اليسرى: {left_hand_joint_number}، اليد اليمنى: {right_hand_joint_number}).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshIslandVolume,جودة الأصل: يحتوي الجزء {partName} على {num_small_volume_islands} من الجزر الصغيرة المنفصلة من أصل {num_disconnected_components} من المكونات (النتيجة: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshManifold,جودة الأصل: يحتوي الجزء {partName} على مشكلات في انتظام أصل Mesh (النتيجة: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshNotWatertight,جودة الأصل: أصل mesh الخاص بالجزء {partName} غير مانع لتسرب الماء ({boundary_edges_percent}% من حواف الحدود).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshOutsideOuterCage,تحذير بشأن جودة الأصل: تبلغ درجة احتواء أصل mesh ما مقداره {score}. تقع ما نسبته {mesh_outside_outer_cage_percent}% من رؤوس أصل mesh خارج القفص الخارجي.
Common.UGCValidation.ErrorLabel.AQSWarn_MissingData,تعذر احتساب درجة جودة الأصل لـ {measureName} لأن بيانات الإدخال غير مكتملة أو غير صالحة. هذا لا يمنع عملية الرفع.
Common.UGCValidation.ErrorLabel.AQSWarn_TextureComplexity,جودة الأصل: تتميز الهيئة {textureName} بانخفاض تعقيدها (النتيجة: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_TextureResolution,جودة الأصل: تبلغ دقة الهيئة {textureName} ما مقداره {texture_width}x{texture_height} (النتيجة: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_TriangleIntersection,جودة الأصل: يحتوي الجزء {partName} على نسبة {intersecting_tri_face_percent}% من الوجوه المثلثة المتداخلة (النتيجة: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_UVBound,جودة الأصل: يحتوي الجزء {partName} على نسبة {uv_outside_bound_vert_percent}% من رؤوس إحداثيات UV خارج الحدود (النتيجة: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_VertexSimilarity,جودة الأصل: يحتوي الجزء {partName} على نسبة {similar_vertex_percent}% من رؤوس الإحداثيات المماثلة (النتيجة: {score}).
Common.UGCValidation.ErrorLabel.AccessoryAttachmentOutOfBounds,"يجب وضع نقطة اتصال الإكسسوار ""{AttachmentName}"" في الجزء ""{PartName}"" بالقرب من سطح mesh. الموضع الحالي [{CurrentPosition}] خارج النطاق الصالح. انقله ليكون أقرب إلى [{ClosestValidPosition}]."
Common.UGCValidation.ErrorLabel.AccessorySkinning_ExtraJoint,المقبض مربوط بالمفصل {jointName}، وهو ليس جزءًا من المخطط المسموح به. يُسمح فقط بمفاصل R15 القياسية ومفاصل نقل الإكساء.
Common.UGCValidation.ErrorLabel.AccessorySkinning_MissingTransferJoint,يجب على {assetType} استخدام نقل الإكساء، لكن المفصل المطلوب {requiredJointName} غير موجود لديك.
Common.UGCValidation.ErrorLabel.AccessorySkinning_NotLeaderOrFollower,المقبض مربوط بالمفصل {jointName}، ولكن يجب أن يكون هذا الأصل مربوطًا تلقائيًا. يمكنك فقط الربط بـ {validJointNameList}.
Common.UGCValidation.ErrorLabel.AccessorySkinning_RequiredSkinningTransfer,يجب على {assetType} استخدام نقل الإكساء، يُرجى إعداد WrapLayer.AutoSkin إلى EnabledOverride.
Common.UGCValidation.ErrorLabel.AccessorySkinning_RigidIsSkinned,يحتوي الإكسسوار الصلب على بيانات إكساء غير مدعومة. تأكد من عدم استيراد العظام مع الشبكة
Common.UGCValidation.ErrorLabel.AccessorySkinning_TransferJointWithoutAutoSkin,يحتوي المقبض على المفصل {jointName}، وهو مسموح به فقط عندما يتم تعيين WrapLayer.AutoSkin إلى EnabledOverride.
