Key,Value
Authentication.AccountRecovery.LabelEmail,Adresse e-mail
Authentication.AccountRecovery.LabelPhone,Téléphone
Authentication.AccountRecovery.LabelTwoStepVerification,Vérification en 2 étapes
Authentication.AccountRecovery.Message.Error.AccountNotFound,Compte non trouvé.
Authentication.AccountRecovery.Message.Error.InvalidCode,Code non valide.
Authentication.AccountRecovery.Message.Error.InvalidEmail,Courriel non-valide.
Authentication.AccountRecovery.Message.Error.InvalidPassword,Mot de passe invalide.
Authentication.AccountRecovery.Message.Error.TooManyRequests,Trop de tentatives. Veuillez réessayer plus tard.
Authentication.AccountRecovery.Message.Error.TryADifferentOne,Essaye une autre méthode.
Authentication.AccountRecovery.MessagePasswordsDoNotMatch,Les mots de passe ne correspondent pas.
Authentication.AccountRecovery.MessageUnknownError,Erreur inconnue
Authentication.AccountSwitch.Action.AddAccount,Ajouter un compte
Authentication.AccountSwitch.Action.AddAnAccount,
Authentication.AccountSwitch.Action.Continue,
Authentication.AccountSwitch.Action.CreateNewAccount,Créer un nouveau compte
Authentication.AccountSwitch.Action.LogoutAllAccounts,Déconnexion de tous les comptes
Authentication.AccountSwitch.Action.RemoveAllAccounts,Supprimer tous les comptes ?
Authentication.AccountSwitch.Action.SignInToExistingAccount,Se connecter à un compte existant
Authentication.AccountSwitch.Action.SwitchAccount,Changer de compte
Authentication.AccountSwitch.Description.AccountLimit.2,Tu as atteint ta limite de comptes. Retire un compte avant d'en ajouter un autre.
Authentication.AccountSwitch.Description.ContinueSignOutOthers,Continuer avec le compte {username} entraînera la déconnexion de tes autres comptes.
Authentication.AccountSwitch.Description.LogoutConfirmation,Vous devez vous déconnecter de vos autres comptes Roblox sur cet appareil avant d'ajouter un nouveau compte
Authentication.AccountSwitch.Description.PleaseTryAgainLater,Réessayer plus tard
Authentication.AccountSwitch.Description.RemoveAllAccounts,"Une fois que tu te déconnecteras, tous les comptes seront supprimés de cet appareil."
Authentication.AccountSwitch.Description.RemoveCurrentAccount,"Si tu confirmes ton choix, tu ne verras plus ce compte sur cet appareil, à moins que tu ne te connectes à nouveau. Tu seras redirigé vers la page d'accueil."
Authentication.AccountSwitch.Description.TryLoggingInDirectly.2,Essaie de te connecter directement
Authentication.AccountSwitch.Header.CantSwitchAccountsSentenceCase,Impossible de changer de compte
Authentication.AccountSwitch.Header.LogoutAllAccounts,
Authentication.AccountSwitch.Header.RemoveCurrentAccount,Supprimer le compte actuel ?
Authentication.AccountSwitch.Header.SignOutOtherAccounts,Se déconnecter des autres comptes ?
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,
Authentication.AccountSwitch.Heading.SwitchAccount,
Authentication.AccountSwitch.Label.AccountLimitReached.2,"Pour ajouter un compte, déconnecte-toi d'un premier."
Authentication.CrossDevice.Action.CancelLogin,
Authentication.CrossDevice.Action.ConfirmLogin,Confirmer la connexion
Authentication.CrossDevice.Action.Done,Terminé
Authentication.CrossDevice.Action.Enter,Entrer
Authentication.CrossDevice.Action.GoBack,Retour
Authentication.CrossDevice.Action.Next,
Authentication.CrossDevice.Action.TryAgain,
Authentication.CrossDevice.Description.ConfirmOnSignedInDevice,Confirme sur ton appareil connecté pour continuer.
Authentication.CrossDevice.Description.QuickSignInInstructionsModal,"Sur ton appareil déjà connecté, scanne le code QR ou accède à <b>Plus > Connexion rapide</b>, puis saisis le code ci-dessous."
Authentication.CrossDevice.Description.SigningInAs,Connexion en tant que {identifier}
Authentication.CrossDevice.EnterCodeInstruction,puis entre ce code
Authentication.CrossDevice.GoToInstruction,"Sur ton ordinateur ou ton téléphone, accède à :"
Authentication.CrossDevice.Heading.LoginAnotherDevice,Connexion dans un autre appareil
Authentication.CrossDevice.Heading.LoginCode,Code de connexion rapide
Authentication.CrossDevice.Heading.LoginWarning,"POUR TE CONNECTER, ASSURE-TOI QUE TU :"
Authentication.CrossDevice.Heading.QuickLogin,Connexion rapide
Authentication.CrossDevice.Heading.SignInWithQrCode,Se connecter avec un code QR
Authentication.CrossDevice.Heading.SigninAnotherDevice,Connexion depuis un nouvel appareil
Authentication.CrossDevice.Heading.WaitingForConfirmation,En attente de confirmation
Authentication.CrossDevice.Heading.Warning,AVERTISSEMENT !
Authentication.CrossDevice.Label.CodeHeader,Option 2
Authentication.CrossDevice.Label.CodeNotVerified,Le code de connexion rapide n'a pas été vérifié.
Authentication.CrossDevice.Label.Confirm,Confirmer
Authentication.CrossDevice.Label.ConfirmAndLoginAs,Confirmation de la connexion en tant que %s sur ton autre appareil
Authentication.CrossDevice.Label.ConfirmOnDevice,CONFIRMER CONNEXION SUR TON AUTRE APPAREIL
Authentication.CrossDevice.Label.ConfirmationMessage1,Tu es sur le point de t'inscrire : %s
Authentication.CrossDevice.Label.ConfirmationMessage2,"Ce nouvel appareil aura accès à ton compte, tes Robux et à ton inventaire."
Authentication.CrossDevice.Label.ConfirmationMessage3,Confirme que c'est bien toi.
Authentication.CrossDevice.Label.Continue,
Authentication.CrossDevice.Label.DevicePrompt,ALLER SUR TON APPAREIL CONNECTÉ POUR ENTRER CE CODE ET PARTIR EN EXPLORATION
Authentication.CrossDevice.Label.EnterCodeTextBox,Saisir le code
Authentication.CrossDevice.Label.EnterOtherDeviceCode,Entrer le code d'un autre appareil
Authentication.CrossDevice.Label.InvalidLocationError,Nous n'avons pas pu faire correspondre votre position à celle de l'appareil qui a essayé de se connecter. Réessayer sur le même réseau.
Authentication.CrossDevice.Label.LogginInAs,Connexion en %s
Authentication.CrossDevice.Label.LoginInstructions,"Sur ton appareil connecté, aller sur :"
Authentication.CrossDevice.Label.LoginInstructionsV2,Ouvrir ton application Roblox et aller à :
Authentication.CrossDevice.Label.LoginLocation,<b>Paramètres du compte > Connexion rapide</b> Entrer votre code.
Authentication.CrossDevice.Label.LoginLocationV2,<b>Plus sur la page > Connexion rapide</b> pour entrer ton code.
Authentication.CrossDevice.Label.NotAvailableOnNetwork,Cette fonction n'est pas disponible sur ce réseau. Réessayer plus tard
Authentication.CrossDevice.Label.OK,OK
Authentication.CrossDevice.Label.QrCodeError,Nous avons des problèmes pour afficher un code QR. Actualise cette page ou suis les instructions ci-dessous pour te connecter sur un autre appareil.
Authentication.CrossDevice.Label.QrCodeLogin,Code QR de connexion
Authentication.CrossDevice.Label.QrHeader,Option 1
Authentication.CrossDevice.Label.QrInstructions,Scanne ce code QR depuis l'appareil photo de ton appareil connecté.
Authentication.CrossDevice.Label.QuestCDLShortLinkInstruction,Rendez-vous sur <b>roblox.com/quest</b> sur votre ordinateur ou téléphone pour entrer ce code et compléter la connexion.
Authentication.CrossDevice.Label.QuickSignInWarning,"Pour ta sécurité, ne saisis que les codes générés depuis ton nouvel appareil."
Authentication.CrossDevice.Label.SigninInstructionHeading,Pour te connecter en tant que {username} :
