Key,Value
Authentication.Login.Label.ForgotPassword,Forgot password?
Authentication.Login.Label.ForgotYourPassword,Forgot your password?
Authentication.Login.Label.GetOneTimeCode,Get One-Time Code
Authentication.Login.Label.LearnMore,Learn more
Authentication.Login.Label.LinkAccountWarning,"Your Roblox account will be linked to your account on {platform}, and the next time you join, you will be logged in automatically! You can unlink from the Settings screen at any time. There may be a cool down before being able to link to a new account."
Authentication.Login.Label.PasskeyIncompatible,Passkey incompatible
Authentication.Login.Label.Password,Password
Authentication.Login.Label.Phone,
Authentication.Login.Label.QQUserCancel,You are logged out of QQ. Please log in to QQ.
Authentication.Login.Label.SelectAnAccount,Select an account
Authentication.Login.Label.TroubleSigningIn,Trouble signing in?
Authentication.Login.Label.UnverifiedEmailInstructions,"To log in with your email, it must be verified. You can also log in with your username."
Authentication.Login.Label.Username,Username
Authentication.Login.Label.UsernameEmailOrPhoneNumber,"Username, email, or phone number"
Authentication.Login.Label.UsernameEmailPhone,Username/Email/Phone
Authentication.Login.Label.UsernameOrEmail,Username or email
Authentication.Login.Label.UsernameOrPhone,Username or phone
Authentication.Login.Label.VerificationCode,Verification code
Authentication.Login.Label.WeChatUserCancel,You are logged out of WeChat. Please log in to WeChat.
Authentication.Login.Label.WeChatVersionNotSupported,WeChat version is not supported
Authentication.Login.LinkIllegalChildAccountLinking,This Roblox account could not be linked to an Xbox child account. Please try another account or check your settings.
Authentication.Login.QrCodeLoginTitle,Scan QR Code to Login
Authentication.Login.Response.AccountNotFound,Account not found. Please try again.
