Key,Value
Authentication.SignUp.Description.UsernameHelpV2,Оно будет использоваться для входа в систему и будт видно другим.
Authentication.SignUp.Description.UsernameRule1,Используй от 3 до 20 символов
Authentication.SignUp.Description.UsernameRule2,"Допускаются только буквы (a-z), цифры (0-9) и подчеркивание (_)."
Authentication.SignUp.Description.VerificationLinkingText,"Твой аккаунт Roblox будет привязан к твоему аккаунту на платформе {platform}. Ты можешь отменить привязку в любое время в настройках. Может пройти некоторое время, прежде чем ты сможешь привязать свой аккаунт к аккаунту на платформе {platform}. Нажимая кнопку «Зарегистрироваться», ты соглашаешься с Условиями использования, включая арбитражную оговорку, и принимаешь Политику конфиденциальности."
Authentication.SignUp.Description.VerificationLinkingText.VariableButtonName,"Твой аккаунт Roblox будет привязан к твоему аккаунту на платформе {platform}. Ты можешь отменить привязку в любое время в настройках. Может пройти некоторое время, прежде чем ты сможешь привязать свой аккаунт к аккаунту на платформе {platform}. Нажимая кнопку «{ctaButton}», ты соглашаешься с Условиями использования, включая арбитражную оговорку, и принимаешь Политику конфиденциальности."
Authentication.SignUp.Description.VerificationPage,"Нажимая «Регистрация», ты принимаешь Условия использования, включая арбитражное соглашение, и соглашаешься с Политикой конфиденциальности."
Authentication.SignUp.Description.VerificationPage.CreateAccount,"Нажимая «Создать аккаунт», ты принимаешь Условия использования, включая арбитражное соглашение, и соглашаешься с Политикой конфиденциальности."
Authentication.SignUp.Description.VerificationPageMultiStep,"Нажимая «Продолжить», ты принимаешь Условия использования, включая арбитражное соглашение, и соглашаешься с Политикой конфиденциальности."
Authentication.SignUp.Description.VerifiedParentalConsentModal.EnterContinue,"При вводе кода и нажимая «Продолжить», ты даёшь согласие на доступ к Roblox."
Authentication.SignUp.Header.CreatePassword,"Привет, {username}! Cоздай пароль"
Authentication.SignUp.Header.CreatePasswordOrPasskey,"Привет, {username}! Cоздай пароль или ключ доступа"
Authentication.SignUp.Header.GenderPage6,И последнее! Выбери свой пол (необязательно)
Authentication.SignUp.Header.PleaseTryAgain,
Authentication.SignUp.Header.UsernamePage4,Теперь создай имя пользователя
Authentication.SignUp.Header.WhatIsYourBirthday,Дата твоего рождения
Authentication.SignUp.Heading.CannotSignUp,Невозможно зарегистрироваться
Authentication.SignUp.Heading.CountryCodeSelector,Выбор страны
Authentication.SignUp.Heading.PasswordPage,Придумай пароль
Authentication.SignUp.Heading.PickAUsername,Выбери имя пользователя
Authentication.SignUp.Heading.RetryLogIn,
Authentication.SignUp.Heading.UserGreetingWithName,"Привет, {username}"
Authentication.SignUp.Heading.WhatsYourBirthday,
Authentication.SignUp.Label.Age,Возраст
Authentication.SignUp.Label.Birthday,Дата рождения
Authentication.SignUp.Label.BirthdayHeaderB,Для начала выбери дату рождения
Authentication.SignUp.Label.BirthdayWithAge,Дата рождения ({yearsOld})
Authentication.SignUp.Label.ConfirmBirthday,Подтвердить дату рождения
Authentication.SignUp.Label.Continue,
Authentication.SignUp.Label.Day,День
Authentication.SignUp.Label.EmailAddress,
Authentication.SignUp.Label.Error.MinimumAge5,Новые аккаунты не могут иметь возраст пользователя младше 5 лет
Authentication.SignUp.Label.Error.UsernameAlreadyInUse,Это имя пользователя уже используется
Authentication.SignUp.Label.Error.UsernameContainsBoundingUnderscore,Имена пользователей не могут начинаться или заканчиваться на _
Authentication.SignUp.Label.Error.UsernameContainsInvalidCharacter,"Имя пользователя может содержать только буквы, цифры и знак _"
Authentication.SignUp.Label.Error.UsernameContainsMultipleUnderscores,Имя пользователя не может содержать более чем _
Authentication.SignUp.Label.Error.UsernameContainsPII,Имя пользователя не может содержать личную информацию
Authentication.SignUp.Label.Error.UsernameInappropriate,Имя пользователя не подходит для Roblox
Authentication.SignUp.Label.Error.UsernameLengthTooShortOrTooLong,Имя пользователя должно быть от 3 до 20 символов
Authentication.SignUp.Label.ErrorsWithPassword,Пароль содержит ошибки.
Authentication.SignUp.Label.ErrorsWithUsername,Имя пользователя содержит ошибки.
Authentication.SignUp.Label.FullDateString,"{Day} {Month}, {Year}"
Authentication.SignUp.Label.Gender,Пол
Authentication.SignUp.Label.GenderFemale,Женский
Authentication.SignUp.Label.GenderMale,Мужской
Authentication.SignUp.Label.Girl,
Authentication.SignUp.Label.MaybeTryOneOfThese,Попробуй один из этих
Authentication.SignUp.Label.Month,Месяц
Authentication.SignUp.Label.NewPasswordError1,Пароль должен содержать не менее 8 символов
Authentication.SignUp.Label.NewPasswordError2,Пароль не должен совпадать с именем пользователя
Authentication.SignUp.Label.NewPasswordError3,Пароль не должен быть слишком простым
Authentication.SignUp.Label.OptionalGender,Пол (необязательно)
